Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SokobanLearning,0.538,562.312,1.553,260,-1.640
SokobanLearning,0.528,564.596,1.531,257,-1.641
SokobanLearning,0.525,566.717,1.401,260,-1.641
SokobanLearning,0.525,568.848,1.406,260,-1.642
SokobanLearning,0.528,571.023,1.426,262,-1.641
SokobanLearning,0.529,573.180,1.412,262,-1.642
SokobanLearning,0.526,575.338,1.416,260,-1.643
SokobanLearning,0.528,577.513,1.428,260,-1.644
SokobanLearning,0.531,579.690,1.435,262,-1.645
SokobanLearning,0.529,581.838,1.427,257,-1.645
SokobanLearning,0.528,583.972,1.407,260,-1.645
SokobanLearning,0.530,586.102,1.383,258,-1.645
SokobanLearning,0.537,588.236,1.404,258,-1.645
SokobanLearning,0.529,590.375,1.408,260,-1.645
SokobanLearning,0.527,592.536,1.414,260,-1.646
SokobanLearning,0.525,594.661,1.394,260,-1.645
SokobanLearning,0.521,596.782,1.410,260,-1.646
SokobanLearning,0.531,598.928,1.415,260,-1.646
SokobanLearning,0.541,601.175,1.477,262,-1.647
SokobanLearning,0.532,603.470,1.539,260,-1.647
SokobanLearning,0.530,605.728,1.522,262,-1.649
SokobanLearning,0.530,607.716,1.255,260,-1.649
SokobanLearning,0.528,609.791,1.343,260,-1.650
SokobanLearning,0.528,612.083,1.550,260,-1.650
SokobanLearning,0.531,614.123,1.319,262,-1.651
SokobanLearning,0.527,616.240,1.420,260,-1.652
SokobanLearning,0.528,618.402,1.415,258,-1.651
SokobanLearning,0.532,620.551,1.418,260,-1.652
SokobanLearning,0.532,622.742,1.445,258,-1.652
SokobanLearning,0.528,624.881,1.404,259,-1.652
SokobanLearning,0.535,627.105,1.461,258,-1.652
SokobanLearning,0.532,629.260,1.413,260,-1.653
SokobanLearning,0.528,631.403,1.433,261,-1.653
SokobanLearning,0.527,633.554,1.419,262,-1.653
SokobanLearning,0.528,635.710,1.418,260,-1.653
SokobanLearning,0.530,637.911,1.456,261,-1.652
SokobanLearning,0.534,640.149,1.481,262,-1.653
SokobanLearning,0.528,642.332,1.442,260,-1.653
SokobanLearning,0.527,644.483,1.418,260,-1.654
SokobanLearning,0.525,646.639,1.425,260,-1.654
SokobanLearning,0.527,648.787,1.442,260,-1.653
SokobanLearning,0.528,650.961,1.430,260,-1.654
SokobanLearning,0.531,653.127,1.423,260,-1.654
SokobanLearning,0.528,655.293,1.423,262,-1.655
SokobanLearning,0.528,657.411,1.390,262,-1.655
SokobanLearning,0.531,659.552,1.408,260,-1.655
SokobanLearning,0.523,661.675,1.393,262,-1.656
SokobanLearning,0.532,663.873,1.457,262,-1.656
SokobanLearning,0.530,666.077,1.454,261,-1.655
SokobanLearning,0.534,668.294,1.479,262,-1.654
SokobanLearning,0.529,670.525,1.477,258,-1.654
